DIP-250N|refseq:NP_499284|uniprotkb:P41958,DIP-1016N|refseq:NP_498007|uniprotkb:P30429,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),DIP-66E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale),['Mitochondrion'],['Mitochondrion']
DIP-26036N|refseq:NP_509586|uniprotkb:P41941,DIP-26183N|refseq:NP_509021|uniprotkb:Q18025,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40437E,dip-quality-status:,dip:0005(high throughput),['Golgi apparatus'],
DIP-25058N|refseq:NP_498554|uniprotkb:P41999,DIP-25058N|refseq:NP_498554|uniprotkb:P41999,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40440E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],['Nucleus']
DIP-26472N|refseq:NP_501545|uniprotkb:Q18241,DIP-25058N|refseq:NP_498554|uniprotkb:P41999,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40441E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-25058N|refseq:NP_498554|uniprotkb:P41999,DIP-25098N|refseq:NP_001022535|uniprotkb:Q23664,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40443E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-24510N|refseq:NP_494771|uniprotkb:Q10457,DIP-24510N|refseq:NP_494771|uniprotkb:Q10457,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-40444E,dip-quality-status:core,dip:0005(high throughput)|dip:0005(high throughput),,
DIP-25406N|refseq:NP_494772|uniprotkb:Q10923,DIP-25406N|refseq:NP_494772|uniprotkb:Q10923,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40445E,dip-quality-status:,dip:0005(high throughput),,
DIP-25406N|refseq:NP_494772|uniprotkb:Q10923,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40446E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-25530N|refseq:NP_495955|uniprotkb:Q22705,DIP-27393N|refseq:NP_498605|uniprotkb:Q9TXZ9,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40449E,dip-quality-status:,dip:0005(high throughput),,
DIP-26217N|refseq:NP_497978|uniprotkb:P46769,DIP-25541N|refseq:NP_498579|uniprotkb:P49197,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40450E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-25487N|refseq:NP_491691|uniprotkb:O01686,DIP-26907N|uniprotkb:Q03563,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40455E,dip-quality-status:,dip:0005(high throughput),,
DIP-26907N|uniprotkb:Q03563,DIP-25937N|refseq:NP_496997|uniprotkb:O45410,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40457E,dip-quality-status:,dip:0005(high throughput),,
DIP-26907N|uniprotkb:Q03563,DIP-26178N|refseq:NP_491645|uniprotkb:P91306,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40458E,dip-quality-status:,dip:0005(high throughput),,
DIP-25258N|refseq:NP_505312|uniprotkb:Q22554,DIP-26907N|uniprotkb:Q03563,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40460E,dip-quality-status:,dip:0005(high throughput),,
DIP-26907N|uniprotkb:Q03563,DIP-26697N|refseq:NP_496847|uniprotkb:O18195,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40461E,dip-quality-status:,dip:0005(high throughput),,
DIP-27273N|refseq:NP_499086|uniprotkb:Q9XVX8,DIP-26447N|refseq:NP_498635|uniprotkb:P32085,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40462E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-25531N|refseq:NP_501187|uniprotkb:Q17522,DIP-26100N|refseq:NP_500841|uniprotkb:P91001,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40463E,dip-quality-status:,dip:0005(high throughput),,"['Cytoplasm', 'Nucleus']"
DIP-24889N|uniprotkb:O17583,DIP-25531N|refseq:NP_501187|uniprotkb:Q17522,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40464E,dip-quality-status:,dip:0005(high throughput),"['Cytoplasm', 'Golgi apparatus']",
DIP-25870N|refseq:NP_501038|uniprotkb:O45087,DIP-25531N|refseq:NP_501187|uniprotkb:Q17522,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40465E,dip-quality-status:,dip:0005(high throughput),,
DIP-24607N|refseq:NP_496323|uniprotkb:Q09415,DIP-25531N|refseq:NP_501187|uniprotkb:Q17522,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40466E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-27460N|refseq:NP_495604|uniprotkb:Q19535,DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40467E,dip-quality-status:,dip:0005(high throughput),,
DIP-26184N|refseq:NP_491593|uniprotkb:P91283,DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40468E,dip-quality-status:,dip:0005(high throughput),,
DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,DIP-24622N|refseq:NP_495811|uniprotkb:P49405,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40469E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-26739N|refseq:NP_491838|uniprotkb:O44772,DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40470E,dip-quality-status:,dip:0005(high throughput),,
DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,DIP-26176N|refseq:NP_503389|uniprotkb:O16308,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40472E,dip-quality-status:,dip:0005(high throughput),,
DIP-26188N|refseq:NP_502696|uniprotkb:Q9XTH8,DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40473E,dip-quality-status:,dip:0005(high throughput),,
DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,DIP-25333N|refseq:NP_503933|uniprotkb:O76674,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40480E,dip-quality-status:,dip:0005(high throughput),,
DIP-25023N|refseq:NP_505084|uniprotkb:O16332,DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40481E,dip-quality-status:,dip:0005(high throughput),,
DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,DIP-26233N|refseq:NP_492504|uniprotkb:Q93233,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40484E,dip-quality-status:,dip:0005(high throughput),,
DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,DIP-27350N|uniprotkb:Q9XUW3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40490E,dip-quality-status:,dip:0005(high throughput),,
DIP-26436N|refseq:NP_510292|uniprotkb:Q21131,DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40491E,dip-quality-status:,dip:0005(high throughput),,
DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,DIP-24286N|refseq:NP_500467|uniprotkb:O02116,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40493E,dip-quality-status:,dip:0005(high throughput),,
DIP-26342N|refseq:NP_508981|uniprotkb:Q23192,DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40494E,dip-quality-status:,dip:0005(high throughput),,
DIP-24816N|refseq:NP_496921|uniprotkb:Q9XUK0,DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40495E,dip-quality-status:,dip:0005(high throughput),,
DIP-26909N|refseq:NP_493741|uniprotkb:O17287,DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40496E,dip-quality-status:,dip:0005(high throughput),['Mitochondrion'],
DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,DIP-25685N|refseq:NP_504358|uniprotkb:Q966A8,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40498E,dip-quality-status:,dip:0005(high throughput),,
DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,DIP-25033N|refseq:NP_495198|uniprotkb:P56174,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40500E,dip-quality-status:,dip:0005(high throughput),,
DIP-25337N|refseq:NP_508792|uniprotkb:Q966P3,DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40485E,dip-quality-status:,dip:0005(high throughput),,
DIP-26955N|refseq:NP_492510|uniprotkb:Q93730,DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40488E,dip-quality-status:,dip:0005(high throughput),,
DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,DIP-26150N|refseq:NP_498086|uniprotkb:Q20778,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40489E,dip-quality-status:,dip:0005(high throughput),,
DIP-26683N|refseq:NP_507906|uniprotkb:Q9U2W6,DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-40497E,dip-quality-status:core,dip:0005(high throughput)|dip:0005(high throughput),,
DIP-25958N|refseq:NP_505654|uniprotkb:Q17427,DIP-25384N|refseq:NP_503729|uniprotkb:O61899,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40363E,dip-quality-status:,dip:0005(high throughput),,
DIP-27121N|refseq:NP_506930|uniprotkb:O17898,DIP-26647N|refseq:NP_001020972|uniprotkb:O01839,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40451E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],['Golgi apparatus']
DIP-25556N|refseq:NP_493917|uniprotkb:O17378,DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40492E,dip-quality-status:,dip:0005(high throughput),,
DIP-25463N|refseq:NP_741698|uniprotkb:Q9NES7,DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40474E,dip-quality-status:,dip:0005(high throughput),,
DIP-26907N|uniprotkb:Q03563,DIP-25378N|refseq:NP_502125|uniprotkb:Q93156,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40453E,dip-quality-status:,dip:0005(high throughput),,
DIP-24383N|refseq:NP_490969|uniprotkb:Q95XQ1,DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40475E,dip-quality-status:,dip:0005(high throughput),,
DIP-26668N|refseq:NP_491787|uniprotkb:O01861,DIP-25422N|refseq:NP_502673|uniprotkb:O45225,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40476E,dip-quality-status:,dip:0005(high throughput),,
DIP-27385N|refseq:NP_495966|uniprotkb:Q23390,DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40499E,dip-quality-status:,dip:0005(high throughput),,
DIP-25464N|refseq:NP_501024|uniprotkb:Q17539,DIP-26944N|refseq:NP_510811|uniprotkb:P91185,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40486E,dip-quality-status:,dip:0005(high throughput),,
DIP-25100N|refseq:NP_493543|uniprotkb:Q9NF14,DIP-27067N|refseq:NP_503968|uniprotkb:O16198,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40515E,dip-quality-status:,dip:0005(high throughput),,
DIP-26073N|refseq:NP_504839|uniprotkb:O16313,DIP-26073N|refseq:NP_504839|uniprotkb:O16313,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40591E,dip-quality-status:,dip:0005(high throughput),,
DIP-25535N|refseq:NP_502094|uniprotkb:Q9XVV3,DIP-25739N|refseq:NP_508383|uniprotkb:Q9N5S5,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40652E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-26408N|refseq:NP_505632|uniprotkb:Q17935,DIP-26859N|refseq:NP_492380|uniprotkb:Q9XVN9,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40697E,dip-quality-status:,dip:0005(high throughput),,
DIP-26391N|refseq:NP_498227|uniprotkb:Q10930,DIP-26508N|refseq:NP_501543|uniprotkb:Q18240,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40827E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26516N|refseq:NP_501859|uniprotkb:Q21215,DIP-25501N|refseq:NP_498286|uniprotkb:Q09248,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40845E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-24478N|refseq:NP_497346|uniprotkb:Q95Y72,DIP-25350N|refseq:NP_498869|uniprotkb:Q04908,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-40863E,dip-quality-status:core,dip:0005(high throughput)|dip:0005(high throughput),"['Cytoplasm', 'Nucleus']",
DIP-25650N|refseq:NP_502359|uniprotkb:Q19872,DIP-24363N|refseq:NP_498111|uniprotkb:P46561,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40886E,dip-quality-status:,dip:0005(high throughput),,['Mitochondrion']
DIP-26743N|refseq:NP_493502|uniprotkb:O45539,DIP-24380N|refseq:NP_497989|uniprotkb:P46941,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40916E,dip-quality-status:,dip:0005(high throughput),,
DIP-26398N|refseq:NP_503258|uniprotkb:O17020,DIP-24380N|refseq:NP_497989|uniprotkb:P46941,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40920E,dip-quality-status:,dip:0005(high throughput),,
DIP-24587N|refseq:NP_492467|uniprotkb:O17666,DIP-25407N|refseq:NP_506127|uniprotkb:Q23158,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40961E,dip-quality-status:,dip:0005(high throughput),,
DIP-25723N|refseq:NP_498169|uniprotkb:Q21648,DIP-25173N|refseq:NP_492575|uniprotkb:Q9U3S0,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40579E,dip-quality-status:,dip:0005(high throughput),,
DIP-25535N|refseq:NP_502094|uniprotkb:Q9XVV3,DIP-26550N|refseq:NP_499106|uniprotkb:P34604,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40655E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-24601N|refseq:NP_504771|uniprotkb:O76828,DIP-24624N|refseq:NP_499095|uniprotkb:P34465,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40875E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-25048N|refseq:NP_496492|uniprotkb:Q18668,DIP-26968N|refseq:NP_492738|uniprotkb:Q9U2Z5,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40991E,dip-quality-status:,dip:0005(high throughput),,
DIP-26145N|refseq:NP_501584|uniprotkb:Q17559,DIP-25421N|refseq:NP_001021628|uniprotkb:P91820,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40502E,dip-quality-status:,dip:0005(high throughput),,
DIP-26145N|refseq:NP_501584|uniprotkb:Q17559,DIP-26093N|refseq:NP_504680|uniprotkb:O76449,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40503E,dip-quality-status:,dip:0005(high throughput),,
DIP-25461N|refseq:NP_490842|uniprotkb:P55853,DIP-24423N|refseq:NP_500997|uniprotkb:P90740,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40505E,dip-quality-status:,dip:0005(high throughput),"['Cytoplasm', 'Nucleus']",['Nucleus']
DIP-25136N|refseq:NP_741750|uniprotkb:Q18076,DIP-26158N|refseq:NP_491559|uniprotkb:P91015,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40508E,dip-quality-status:,dip:0005(high throughput),,
DIP-26666N|refseq:NP_507461|uniprotkb:Q9XUX8,DIP-26158N|refseq:NP_491559|uniprotkb:P91015,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40510E,dip-quality-status:,dip:0005(high throughput),,
DIP-26574N|refseq:NP_509142|uniprotkb:P55956,DIP-26158N|refseq:NP_491559|uniprotkb:P91015,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40511E,dip-quality-status:,dip:0005(high throughput),,
DIP-26158N|refseq:NP_491559|uniprotkb:P91015,DIP-26873N|refseq:NP_499291|uniprotkb:Q18516,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40512E,dip-quality-status:,dip:0005(high throughput),,
DIP-24474N|refseq:NP_504944|uniprotkb:O16453,DIP-27067N|refseq:NP_503968|uniprotkb:O16198,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40513E,dip-quality-status:,dip:0005(high throughput),,
DIP-25115N|refseq:NP_498811|uniprotkb:P34278,DIP-25971N|uniprotkb:Q21431,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40518E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-25420N|refseq:NP_510459|uniprotkb:Q9BI72,DIP-25115N|refseq:NP_498811|uniprotkb:P34278,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40519E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-24619N|refseq:NP_498806|uniprotkb:P34286,DIP-25290N|refseq:NP_501086|uniprotkb:Q17746,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40520E,dip-quality-status:,dip:0005(high throughput),"['Cytoplasm', 'Nucleus']",
DIP-26903N|refseq:NP_494014|uniprotkb:O17200,DIP-24619N|refseq:NP_498806|uniprotkb:P34286,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40521E,dip-quality-status:,dip:0005(high throughput),,"['Cytoplasm', 'Nucleus']"
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-24619N|refseq:NP_498806|uniprotkb:P34286,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40522E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],"['Cytoplasm', 'Nucleus']"
DIP-24619N|refseq:NP_498806|uniprotkb:P34286,DIP-27157N|refseq:NP_493028|uniprotkb:Q9XVK6,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40523E,dip-quality-status:,dip:0005(high throughput),"['Cytoplasm', 'Nucleus']",
DIP-24619N|refseq:NP_498806|uniprotkb:P34286,DIP-25163N|refseq:NP_505272|uniprotkb:Q23301,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40524E,dip-quality-status:,dip:0005(high throughput),"['Cytoplasm', 'Nucleus']",
DIP-25498N|refseq:NP_502169|uniprotkb:Q9XTV2,DIP-24941N|refseq:NP_510049|uniprotkb:Q17622,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40567E,dip-quality-status:,dip:0005(high throughput),,
DIP-26100N|refseq:NP_500841|uniprotkb:P91001,DIP-25173N|refseq:NP_492575|uniprotkb:Q9U3S0,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40569E,dip-quality-status:,dip:0005(high throughput),"['Cytoplasm', 'Nucleus']",
DIP-25173N|refseq:NP_492575|uniprotkb:Q9U3S0,DIP-25173N|refseq:NP_492575|uniprotkb:Q9U3S0,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40570E,dip-quality-status:,dip:0005(high throughput),,
DIP-25173N|refseq:NP_492575|uniprotkb:Q9U3S0,DIP-25764N|refseq:NP_508310|uniprotkb:Q9TZK8,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40571E,dip-quality-status:,dip:0005(high throughput),,
