Entry	Status	Organism	Subcellular location [CC]
Q9LSJ5	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q9M3D6	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:16116418}; Multi-pass membrane protein {ECO:0000269|PubMed:16116418}.
Q9C8G9	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:15133126, ECO:0000269|PubMed:17151019}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:15133126}. Note=Tonoplast.
Q9LFG8	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q949P1	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q9SBB2	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P27697}; Peripheral membrane protein {ECO:0000250|UniProtKB:P27697}; Matrix side {ECO:0000250|UniProtKB:P27697}.
P33487	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:24578577, ECO:0000305|PubMed:7517789}. Cell membrane {ECO:0000269|PubMed:24578577, ECO:0000303|PubMed:16649105}; Peripheral membrane protein {ECO:0000303|PubMed:16649105}. Note=In plasmolyzed cells, observed in strands connecting the apoplast and the plasma membrane. {ECO:0000269|PubMed:24578577}.
Q9FGF8	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9MA55	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18773301, ECO:0000269|PubMed:18836139}. Note=Also to the periphery of the nucleus.
Q0WPW4	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q9FIJ6	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
O22718	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}.
O65201	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000305}.
P25702	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast.
P53665	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Mitochondrion.
Q9LZ23	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast {ECO:0000269|PubMed:21861936}.
O80644	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q84P21	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:16963437}.
Q84P26	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000305}.
Q9LQS1	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
O82567	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q84MB3	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q8L7U7	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
O80526	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}.
Q9LMI7	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000305}.
Q9SW21	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast {ECO:0000305}.
Q9FGJ4	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.
Q9SJM1	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
O49285	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
P46077	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P48349}. Cytoplasm {ECO:0000250|UniProtKB:P48349}. Note=Translocates from the cytosol to the nucleus when phosphorylated. {ECO:0000250|UniProtKB:P48349}.
P42645	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21558460}. Nucleus {ECO:0000269|PubMed:21558460}. Note=Not associated with microtubules (PubMed:21558460). Translocates from the cytosol to the nucleus when phosphorylated (By similarity). {ECO:0000250|UniProtKB:P48349, ECO:0000269|PubMed:21558460}.
Q96300	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P48349}. Cytoplasm {ECO:0000250|UniProtKB:P48349}. Note=Translocates from the cytosol to the nucleus when phosphorylated. {ECO:0000250|UniProtKB:P48349}.
Q9M2Y8	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
O04375	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26517938}. Cytoplasm {ECO:0000269|PubMed:26517938}.
Q9FH31	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q9C8D4	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000305}.
F4KBF3	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Peroxisome.
Q9LH84	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.
Q9LJJ5	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q9FKM3	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q9FWX8	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q944H2	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast {ECO:0000269|PubMed:18431481}. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9C8J8	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9LSJ8	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q9FJH6	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q93YS4	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9FT51	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9LZB8	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast membrane {ECO:0000269|PubMed:12938931, ECO:0000269|PubMed:18431481}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:12938931, ECO:0000269|PubMed:18431481}.
Q42093	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:17151019}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}. Note=Tonoplast. {ECO:0000269|PubMed:11115509}.
Q9STT5	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8LPK0	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9LSW7	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
O64587	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18845362}.
Q9C540	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9LTH7	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
P11829	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast.
O04652	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast {ECO:0000305}.
P48348	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P48349}. Cytoplasm {ECO:0000250|UniProtKB:P48349}. Note=Translocates from the cytosol to the nucleus when phosphorylated. {ECO:0000250|UniProtKB:P48349}.
Q8GYY0	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q06402	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q37001	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
O04376	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26517938}. Cytoplasm {ECO:0000269|PubMed:26517938}.
Q9SV41	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26517938}.
Q8VZQ4	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15610358}. Nucleus {ECO:0000269|PubMed:15610358}.
Q5XF51	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12805588}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:12805588}; Extracellular side {ECO:0000305}.
Q8GWR1	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000269|PubMed:21189294}. Nucleus, nuclear pore complex {ECO:0000305|PubMed:21189294}.
Q9FFE6	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000305}.
O49434	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:18065556}.
Q9FN04	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9FF99	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
O82568	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9M2L4	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q9LF79	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
O65902	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:21166475}.
F4I1L3	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000305}.
P56765	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast membrane {ECO:0000269|PubMed:18431481}; Peripheral membrane protein. Plastid, chloroplast stroma {ECO:0000269|PubMed:18431481}.
Q94A78	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
P48347	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P48349}. Cytoplasm {ECO:0000250|UniProtKB:P48349}. Note=Translocates from the cytosol to the nucleus when phosphorylated. {ECO:0000250|UniProtKB:P48349}.
Q9LQ10	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q9STR4	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q9ZQY6	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26517938}.
Q9XGR4	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q3E6Y4	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000305}.
Q9M0X9	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:15677481}.
O80658	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
F4J0B7	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255}.
Q8RY66	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q9FLT4	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9LYS2	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q9C8H1	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q9LHD1	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q9M2V7	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9LSJ6	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q9C8T1	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.
Q9M3B9	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q9LSJ2	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q9MAG3	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9FF46	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q84K47	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q7PC88	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q7PC85	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9LK64	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
O80725	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16243904}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:16243904}. Note=Non-polar distribution in apical cells. Apical (bottom) localization in mature root cells. Basal (top) localization in the root elongation zone.
Q9M1H3	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q9CAF5	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast {ECO:0000269|PubMed:15184673}.
Q9ZU35	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9FLX5	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9M0M2	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q9C826	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12417697}.
A0MES8	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00366, ECO:0000255|PROSITE-ProRule:PRU00768, ECO:0000269|PubMed:24451981}.
Q9LD43	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast inner membrane {ECO:0000269|PubMed:10759501, ECO:0000269|PubMed:12938931, ECO:0000269|PubMed:15028209, ECO:0000269|PubMed:16207701, ECO:0000269|PubMed:18431481}; Peripheral membrane protein {ECO:0000269|PubMed:10759501, ECO:0000269|PubMed:12938931, ECO:0000269|PubMed:15028209, ECO:0000269|PubMed:16207701, ECO:0000269|PubMed:18431481}; Stromal side {ECO:0000269|PubMed:10759501, ECO:0000269|PubMed:12938931, ECO:0000269|PubMed:15028209, ECO:0000269|PubMed:16207701, ECO:0000269|PubMed:18431481}.
O65378	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q8LPS2	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16297071, ECO:0000269|PubMed:24923602}; Multi-pass membrane protein {ECO:0000269|PubMed:16297071, ECO:0000269|PubMed:24923602}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:24923602}; Multi-pass membrane protein {ECO:0000269|PubMed:24923602}. Note=Constitutively undergoes endoplasmic reticulum-associated degradation (ERAD), via ubiquitination and subsequent degradation by the proteasome. During salicylic acid (SA) signaling, the soluble pool decreases, whereas the plasma membrane pool increases. {ECO:0000269|PubMed:24923602}.
Q8L856	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:14730083}; Multi-pass membrane protein {ECO:0000269|PubMed:14730083}.
Q9LTH8	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q94A28	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14671022}.
P42643	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P48349}. Cytoplasm {ECO:0000250|UniProtKB:P48349}. Note=Translocates from the cytosol to the nucleus when phosphorylated. {ECO:0000250|UniProtKB:P48349}.
Q06429	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q93YV6	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26517938}.
Q9LVE2	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:19672620, ECO:0000269|PubMed:26517938}. Mitochondrion {ECO:0000269|PubMed:19672620}.
Q38845	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:22404109}. Nucleus {ECO:0000269|PubMed:22404109}.
Q38950	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:22404109, ECO:0000269|PubMed:25489022}. Nucleus {ECO:0000269|PubMed:22404109}. Peroxisome {ECO:0000269|PubMed:25489022}. Note=Interacts with B'THETA in the cytosol and peroxisomal import occurs by a piggybacking transport. {ECO:0000269|PubMed:25489022}.
Q39247	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q9C991	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.
Q84P23	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:15677481}.
Q9SMT7	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22447686}.
Q9FFE9	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q8S8M5	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.
Q9FHY1	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.
Q9STX1	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:16231156}.
P93824	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
O80963	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
P28297	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Glyoxysome {ECO:0000269|PubMed:19246395}.
