ID_interactor_A,ID_interactor_B,Taxid_interactor_A,Taxid_interactor_B,Interaction_type(s),Interaction_identifier(s),Confidence_value(s),Processing_Status
DIP-169N|refseq:NP_003137|uniprotkb:Q08945,DIP-953N|refseq:NP_003111|uniprotkb:P17947,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-77E,dip-quality-status:core,dip:0002(small scale)
DIP-1074N|uniprotkb:Q9DH70,DIP-368N|uniprotkb:P04637,taxid:10633(Simian virus 40),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-438E,dip-quality-status:core,dip:0002(small scale)
DIP-150N|refseq:NP_003394|uniprotkb:P25490,DIP-257N|refseq:NP_001420|uniprotkb:Q09472,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-10E,dip-quality-status:core,dip:0002(small scale)
DIP-952N|refseq:NP_004371|uniprotkb:Q92793,DIP-331N|uniprotkb:P36956,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association),DIP-11E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-74N|uniprotkb:P15923,DIP-327N|uniprotkb:Q04650,taxid:9606(Homo sapiens),taxid:10036(Mesocricetus auratus),MI:0218(physical interaction),DIP-12E,dip-quality-status:core,dip:0002(small scale)
DIP-74N|uniprotkb:P15923,DIP-704N|refseq:NP_002469|uniprotkb:P15172,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-14E,dip-quality-status:core,dip:0002(small scale)
DIP-163N|refseq:NP_003190|uniprotkb:P15884,DIP-713N|refseq:NP_002158|uniprotkb:Q02535,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-17E,dip-quality-status:core,dip:0002(small scale)
DIP-681N|refseq:NP_014069|uniprotkb:P32561,DIP-150N|refseq:NP_003394|uniprotkb:P25490,taxid:4932(Saccharomyces cerevisiae),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-20E,dip-quality-status:core,dip:0002(small scale)
DIP-1042N|uniprotkb:P00519,DIP-182N|uniprotkb:Q13315,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association),DIP-25E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-785N|refseq:NP_011062|uniprotkb:P39958,DIP-372N|uniprotkb:P20338,taxid:4932(Saccharomyces cerevisiae),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-29E,dip-quality-status:core,dip:0002(small scale)
DIP-383N|refseq:NP_001094|uniprotkb:P35609,DIP-674N|refseq:NP_058706|uniprotkb:P35439,taxid:9606(Homo sapiens),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-30E,dip-quality-status:core,dip:0002(small scale)
DIP-538N|refseq:NP_001734|uniprotkb:P02593,DIP-383N|refseq:NP_001094|uniprotkb:P35609,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-31E,dip-quality-status:core,dip:0002(small scale)
DIP-459N|refseq:NP_006234|uniprotkb:Q15172,DIP-155N|uniprotkb:P31314,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-32E,dip-quality-status:core,dip:0002(small scale)
DIP-459N|refseq:NP_006234|uniprotkb:Q15172,DIP-908N|uniprotkb:Q94818,taxid:9606(Homo sapiens),taxid:5911(Tetrahymena thermophila),MI:0218(physical interaction),DIP-35E,dip-quality-status:core,dip:0002(small scale)
DIP-704N|refseq:NP_002469|uniprotkb:P15172,DIP-704N|refseq:NP_002469|uniprotkb:P15172,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-43E,dip-quality-status:core,dip:0002(small scale)
DIP-90N|uniprotkb:P18428,DIP-1030N|refseq:NP_000582|uniprotkb:P08571,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-54E,dip-quality-status:core,dip:0002(small scale)
DIP-1081N|uniprotkb:P04273,DIP-58N|uniprotkb:P10809,taxid:10036(Mesocricetus auratus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-57E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-1043N|refseq:NP_000624|uniprotkb:P10415,DIP-1043N|refseq:NP_000624|uniprotkb:P10415,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-64E,dip-quality-status:core,dip:0002(small scale)
DIP-1043N|refseq:NP_000624|uniprotkb:P10415,DIP-232N|uniprotkb:Q07812,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0915(physical association)|MI:0915(physical association),DIP-65E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)
DIP-31N|refseq:NP_002976|uniprotkb:P13501,DIP-400N,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-71E,dip-quality-status:core,dip:0002(small scale)
DIP-285N|refseq:NP_003780|uniprotkb:Q15628,DIP-407N|uniprotkb:P19438,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association),DIP-78E,dip-quality-status:core,dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-468N|uniprotkb:P39429,DIP-407N|uniprotkb:P19438,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-79E,dip-quality-status:core,dip:0002(small scale)
DIP-451N|uniprotkb:Q91407,DIP-406N|refseq:NP_002498|uniprotkb:P08138,taxid:7955(Danio rerio),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-82E,dip-quality-status:core,dip:0002(small scale)
DIP-451N|uniprotkb:Q91407,DIP-346N|refseq:NP_002518|uniprotkb:P20783,taxid:7955(Danio rerio),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-83E,dip-quality-status:core,dip:0002(small scale)
DIP-450N|uniprotkb:P52583,DIP-29229N|uniprotkb:P62993,taxid:93934(Coturnix coturnix japonica),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-86E,dip-quality-status:core,dip:0002(small scale)
DIP-175N|uniprotkb:P29466,DIP-474N|refseq:NP_000567|uniprotkb:P01584,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0570(protein cleavage),DIP-88E,dip-quality-status:core,dip:0002(small scale)|dip:0004(small scale)
DIP-950N|refseq:NP_032386|uniprotkb:P70380,DIP-483N|uniprotkb:P01579,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-89E,dip-quality-status:core,dip:0002(small scale)
DIP-950N|refseq:NP_032386|uniprotkb:P70380,DIP-175N|uniprotkb:P29466,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-90E,dip-quality-status:core,dip:0002(small scale)
DIP-268N|refseq:NP_004337|uniprotkb:P42574,DIP-950N|refseq:NP_032386|uniprotkb:P70380,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-91E,dip-quality-status:core,dip:0002(small scale)
DIP-229N|refseq:NP_795344|uniprotkb:P32239,DIP-403N|refseq:NP_000796|uniprotkb:P01350,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-95E,dip-quality-status:core,dip:0002(small scale)
DIP-403N|refseq:NP_000796|uniprotkb:P01350,DIP-664N|refseq:NP_037101|uniprotkb:P35570,taxid:9606(Homo sapiens),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-96E,dip-quality-status:core,dip:0002(small scale)
DIP-253N|refseq:NP_003168|uniprotkb:P43405,DIP-295N|uniprotkb:Q15349,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-97E,dip-quality-status:core,dip:0002(small scale)
DIP-879N,DIP-1037N|uniprotkb:P07996,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-98E,dip-quality-status:core,dip:0002(small scale)
DIP-267N|refseq:NP_446309|uniprotkb:Q62622,DIP-22N|refseq:NP_001959|uniprotkb:P06730,taxid:10116(Rattus norvegicus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-114E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-987N|uniprotkb:Q60431,DIP-331N|uniprotkb:P36956,taxid:10030(Cricetulus longicaudatus (Long-tailed hamster) (Chinese hamster)),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-116E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-263N|uniprotkb:Q12772,DIP-987N|uniprotkb:Q60431,taxid:9606(Homo sapiens),taxid:10030(Cricetulus longicaudatus (Long-tailed hamster) (Chinese hamster)),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-117E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-268N|refseq:NP_004337|uniprotkb:P42574,DIP-38N|refseq:NP_001609|uniprotkb:P09874,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0570(protein cleavage),DIP-119E,dip-quality-status:core,dip:0004(small scale)
DIP-392N|uniprotkb:Q00987,DIP-368N|uniprotkb:P04637,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0254(genetic interference)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),DIP-120E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-226N|uniprotkb:P14859,DIP-977N|refseq:NP_035266|uniprotkb:Q64693,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-121E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-51N|uniprotkb:P09086,DIP-977N|refseq:NP_035266|uniprotkb:Q64693,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-122E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-790N|refseq:NP_004949|uniprotkb:P42345,DIP-87N|refseq:NP_000792|uniprotkb:P20071,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-131E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-114N|refseq:NP_001936|uniprotkb:Q99075,DIP-370N|uniprotkb:P00587,taxid:9606(Homo sapiens),taxid:10703(Corynephage beta),MI:0407(direct interaction),DIP-132E,dip-quality-status:core,dip:0002(small scale)
DIP-496N|refseq:NP_005635|uniprotkb:Q16514,DIP-496N|refseq:NP_005635|uniprotkb:Q16514,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-148E,dip-quality-status:core,dip:0002(small scale)
DIP-496N|refseq:NP_005635|uniprotkb:Q16514,DIP-420N|refseq:NP_003529|uniprotkb:P02304,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-149E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-435N|uniprotkb:Q16594,DIP-420N|refseq:NP_003529|uniprotkb:P02304,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-150E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-421N|refseq:NP_066402|uniprotkb:P06899,DIP-493N|uniprotkb:Q62311,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-151E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-922N|refseq:NP_003484|uniprotkb:Q16695,DIP-493N|uniprotkb:Q62311,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-152E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-839N|refseq:NP_011790|uniprotkb:P46677,DIP-1078N|refseq:NP_003185|uniprotkb:P20226,taxid:4932(Saccharomyces cerevisiae),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-155E,dip-quality-status:core,dip:0002(small scale)
DIP-147N|uniprotkb:P21675,DIP-1078N|refseq:NP_003185|uniprotkb:P20226,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0218(physical interaction),DIP-156E,dip-quality-status:core,dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)
DIP-1021N|uniprotkb:P11277,DIP-1020N|refseq:NP_003117|uniprotkb:P02549,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-171E,dip-quality-status:core,dip:0002(small scale)
DIP-435N|uniprotkb:Q16594,DIP-493N|uniprotkb:Q62311,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-173E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-493N|uniprotkb:Q62311,DIP-496N|refseq:NP_005635|uniprotkb:Q16514,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-174E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-493N|uniprotkb:Q62311,DIP-1078N|refseq:NP_003185|uniprotkb:P20226,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-175E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-493N|uniprotkb:Q62311,DIP-717N|refseq:NP_005504|uniprotkb:P29083,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-176E,dip-quality-status:core,dip:0002(small scale)
DIP-435N|uniprotkb:Q16594,DIP-773N|uniprotkb:P49848,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),DIP-178E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-1077N|refseq:NP_001505|uniprotkb:Q00403,DIP-435N|uniprotkb:Q16594,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-179E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-269N|uniprotkb:Q15572,DIP-1078N|refseq:NP_003185|uniprotkb:P20226,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-181E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-36N|refseq:NP_612482|uniprotkb:P08047,DIP-1077N|refseq:NP_001505|uniprotkb:Q00403,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-188E,dip-quality-status:core,dip:0002(small scale)
DIP-1077N|refseq:NP_001505|uniprotkb:Q00403,DIP-150N|refseq:NP_003394|uniprotkb:P25490,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-189E,dip-quality-status:core,dip:0002(small scale)
DIP-368N|uniprotkb:P04637,DIP-239N|refseq:NP_523391|uniprotkb:Q27272,taxid:9606(Homo sapiens),taxid:7227(Drosophila melanogaster),MI:0218(physical interaction),DIP-193E,dip-quality-status:core,dip:0002(small scale)
DIP-435N|uniprotkb:Q16594,DIP-368N|uniprotkb:P04637,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-194E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-773N|uniprotkb:P49848,DIP-368N|uniprotkb:P04637,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-195E,dip-quality-status:core,dip:0002(small scale)
DIP-237N|uniprotkb:P47825,DIP-36N|refseq:NP_612482|uniprotkb:P08047,taxid:7227(Drosophila melanogaster),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-196E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-36N|refseq:NP_612482|uniprotkb:P08047,DIP-150N|refseq:NP_003394|uniprotkb:P25490,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-198E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-652N|refseq:NP_005162|uniprotkb:P18846,DIP-570N|uniprotkb:P03254,taxid:9606(Homo sapiens),taxid:10515(Human adenovirus type 2),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-200E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-570N|uniprotkb:P03254,DIP-632N|uniprotkb:P15336,taxid:10515(Human adenovirus type 2),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-201E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-570N|uniprotkb:P03254,DIP-344N|uniprotkb:P18847,taxid:10515(Human adenovirus type 2),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-202E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-270N|uniprotkb:P45984,DIP-570N|uniprotkb:P03254,taxid:9606(Homo sapiens),taxid:10515(Human adenovirus type 2),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-203E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-570N|uniprotkb:P03254,DIP-582N|refseq:NP_000312|uniprotkb:P06400,taxid:10515(Human adenovirus type 2),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),DIP-206E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-582N|refseq:NP_000312|uniprotkb:P06400,DIP-185N|refseq:NP_758961|uniprotkb:P32519,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-210E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-582N|refseq:NP_000312|uniprotkb:P06400,DIP-1090N|refseq:NP_041326|uniprotkb:P03129,taxid:9606(Homo sapiens),taxid:333760(Human papillomavirus type 16),MI:0218(physical interaction),DIP-211E,dip-quality-status:core,dip:0002(small scale)
DIP-1091N|refseq:NP_077107|uniprotkb:P03130,DIP-582N|refseq:NP_000312|uniprotkb:P06400,taxid:10623(cottontail rabbit papillomavirus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-212E,dip-quality-status:core,dip:0002(small scale)
DIP-582N|refseq:NP_000312|uniprotkb:P06400,DIP-463N|uniprotkb:P29374,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-213E,dip-quality-status:core,dip:0002(small scale)
DIP-428N|uniprotkb:Q13029,DIP-582N|refseq:NP_000312|uniprotkb:P06400,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-215E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-473N|uniprotkb:Q63755,DIP-582N|refseq:NP_000312|uniprotkb:P06400,taxid:10116(Rattus norvegicus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-216E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-495N|refseq:NP_005634|uniprotkb:Q15544,DIP-900N|refseq:NP_005636|uniprotkb:Q15543,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-221E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-1078N|refseq:NP_003185|uniprotkb:P20226,DIP-495N|refseq:NP_005634|uniprotkb:Q15544,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-222E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-900N|refseq:NP_005636|uniprotkb:Q15543,DIP-1078N|refseq:NP_003185|uniprotkb:P20226,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-223E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-297N|uniprotkb:Q12962,DIP-900N|refseq:NP_005636|uniprotkb:Q15543,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association),DIP-224E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)
DIP-496N|refseq:NP_005635|uniprotkb:Q16514,DIP-1078N|refseq:NP_003185|uniprotkb:P20226,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-225E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-496N|refseq:NP_005635|uniprotkb:Q16514,DIP-495N|refseq:NP_005634|uniprotkb:Q15544,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-226E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-297N|uniprotkb:Q12962,DIP-496N|refseq:NP_005635|uniprotkb:Q16514,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-227E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
