ID_interactor_A,ID_interactor_B,Taxid_interactor_A,Taxid_interactor_B,Interaction_type(s),Interaction_identifier(s),Confidence_value(s),Processing_Status
DIP-226N|uniprotkb:P14859,DIP-977N|refseq:NP_035266|uniprotkb:Q64693,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-121E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-51N|uniprotkb:P09086,DIP-977N|refseq:NP_035266|uniprotkb:Q64693,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-122E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-421N|refseq:NP_066402|uniprotkb:P06899,DIP-493N|uniprotkb:Q62311,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-151E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-922N|refseq:NP_003484|uniprotkb:Q16695,DIP-493N|uniprotkb:Q62311,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-152E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-435N|uniprotkb:Q16594,DIP-493N|uniprotkb:Q62311,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-173E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-493N|uniprotkb:Q62311,DIP-496N|refseq:NP_005635|uniprotkb:Q16514,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-174E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-493N|uniprotkb:Q62311,DIP-1078N|refseq:NP_003185|uniprotkb:P20226,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-175E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-493N|uniprotkb:Q62311,DIP-717N|refseq:NP_005504|uniprotkb:P29083,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-176E,dip-quality-status:core,dip:0002(small scale)
DIP-605N|refseq:NP_032164|uniprotkb:P08752,DIP-422N|uniprotkb:Q08462,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-261E,dip-quality-status:core,dip:0002(small scale)
DIP-604N|uniprotkb:P29387,DIP-164N|refseq:NP_112269|uniprotkb:P26769,taxid:10090(Mus musculus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-262E,dip-quality-status:core,dip:0002(small scale)
DIP-724N|uniprotkb:Q08639,DIP-693N|uniprotkb:P30274,taxid:10090(Mus musculus),taxid:9913(Bos taurus),MI:0218(physical interaction),DIP-278E,dip-quality-status:core,dip:0002(small scale)
DIP-907N|refseq:NP_034025|uniprotkb:Q62225,DIP-657N|uniprotkb:P14753,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-285E,dip-quality-status:core,dip:0002(small scale)
DIP-117N|refseq:NP_004283|uniprotkb:Q13671,DIP-733N|uniprotkb:P42655,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-287E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-447N|refseq:NP_032804|uniprotkb:Q61036,DIP-128N|uniprotkb:P60953-2,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-291E,dip-quality-status:core,dip:0002(small scale)
DIP-138N|refseq:XP_217250|uniprotkb:P09759,DIP-259N|refseq:NP_032189|uniprotkb:Q60631,taxid:10116(Rattus norvegicus),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-293E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-446N|refseq:NP_034475|uniprotkb:Q60760,DIP-138N|refseq:XP_217250|uniprotkb:P09759,taxid:10090(Mus musculus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-294E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-292N|uniprotkb:Q60898,DIP-829N|uniprotkb:Q03145,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-298E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-118N|uniprotkb:P70304,DIP-829N|uniprotkb:Q03145,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-299E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-285N|refseq:NP_003780|uniprotkb:Q15628,DIP-468N|uniprotkb:P39429,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-301E,dip-quality-status:core,dip:0002(small scale)
DIP-468N|uniprotkb:P39429,DIP-78N|refseq:NP_001057|uniprotkb:P20333,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-304E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-1031N|refseq:NP_036805|uniprotkb:P01830,DIP-118N|uniprotkb:P70304,taxid:10116(Rattus norvegicus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-310E,dip-quality-status:core,dip:0002(small scale)
DIP-468N|uniprotkb:P39429,DIP-468N|uniprotkb:P39429,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-311E,dip-quality-status:core,dip:0002(small scale)
DIP-468N|uniprotkb:P39429,DIP-260N|uniprotkb:P39428,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-312E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-433N|refseq:NP_003795|uniprotkb:Q13546,DIP-468N|uniprotkb:P39429,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-313E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-899N|refseq:NP_032278|uniprotkb:P30681,DIP-51N|uniprotkb:P09086,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-323E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-226N|uniprotkb:P14859,DIP-899N|refseq:NP_032278|uniprotkb:P30681,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-324E,dip-quality-status:core,dip:0002(small scale)
DIP-899N|refseq:NP_032278|uniprotkb:P30681,DIP-277N|refseq:NP_002690|uniprotkb:Q03052,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-325E,dip-quality-status:core,dip:0002(small scale)
DIP-273N|refseq:NP_031548|uniprotkb:Q61337,DIP-328N,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association),DIP-403E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-120N|refseq:NP_077249|uniprotkb:P35279,DIP-348N|refseq:NP_032138|uniprotkb:Q61598,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-405E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-348N|refseq:NP_032138|uniprotkb:Q61598,DIP-380N|refseq:NP_004153|uniprotkb:P20339,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-406E,dip-quality-status:core,dip:0002(small scale)
DIP-348N|refseq:NP_032138|uniprotkb:Q61598,DIP-1063N|refseq:NP_004152|uniprotkb:P62820,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-407E,dip-quality-status:core,dip:0002(small scale)
DIP-348N|refseq:NP_032138|uniprotkb:Q61598,DIP-316N|uniprotkb:P61019,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-408E,dip-quality-status:core,dip:0002(small scale)
DIP-372N|uniprotkb:P20338,DIP-348N|refseq:NP_032138|uniprotkb:Q61598,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-409E,dip-quality-status:core,dip:0002(small scale)
DIP-287N|uniprotkb:Q6PAL8,DIP-120N|refseq:NP_077249|uniprotkb:P35279,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-410E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-334N|uniprotkb:Q62145,DIP-380N|refseq:NP_004153|uniprotkb:P20339,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-412E,dip-quality-status:core,dip:0002(small scale)
DIP-283N|refseq:NP_032863|uniprotkb:Q62083,DIP-532N|uniprotkb:P20444,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-428E,dip-quality-status:core,dip:0002(small scale)
DIP-37N|refseq:NP_034996|uniprotkb:P10085,DIP-74N|uniprotkb:P15923,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-439E,dip-quality-status:core,dip:0002(small scale)
DIP-167N|refseq:NP_034626|uniprotkb:P41136,DIP-74N|uniprotkb:P15923,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-440E,dip-quality-status:core,dip:0002(small scale)
DIP-50N|refseq:NP_477189|uniprotkb:P11420,DIP-455N|refseq:NP_032239|uniprotkb:Q64279,taxid:7227(Drosophila melanogaster),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-449E,dip-quality-status:core,dip:0002(small scale)
DIP-1045N|refseq:NP_004324|uniprotkb:P15056,DIP-467N|refseq:NP_032953|uniprotkb:P31938,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-466E,dip-quality-status:core,dip:0002(small scale)
DIP-1048N|refseq:NP_002871|uniprotkb:P04049,DIP-369N|refseq:NP_035770|uniprotkb:P02340,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-480E,dip-quality-status:core,dip:0002(small scale)
DIP-24227N|refseq:NP_005216|uniprotkb:Q01094,DIP-724N|uniprotkb:Q08639,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-493E,dip-quality-status:core,dip:0002(small scale)
DIP-222N|uniprotkb:P30561,DIP-280N|uniprotkb:P53762,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-340E,dip-quality-status:core,dip:0002(small scale)
DIP-334N|uniprotkb:Q62145,DIP-120N|refseq:NP_077249|uniprotkb:P35279,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-411E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-1045N|refseq:NP_004324|uniprotkb:P15056,DIP-454N|uniprotkb:Q63932,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-467E,dip-quality-status:core,dip:0002(small scale)
DIP-493N|uniprotkb:Q62311,DIP-677N|refseq:NP_002087|uniprotkb:P35269,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-177E,dip-quality-status:core,dip:0002(small scale)
DIP-907N|refseq:NP_034025|uniprotkb:Q62225,DIP-143N|uniprotkb:P26954,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-284E,dip-quality-status:core,dip:0002(small scale)
DIP-724N|uniprotkb:Q08639,DIP-582N|refseq:NP_000312|uniprotkb:P06400,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0915(physical association),DIP-277E,dip-quality-status:core,dip:0002(small scale)|dip:0004(small scale)
DIP-109N|uniprotkb:P15924,DIP-188N|uniprotkb:P20152,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-525E,dip-quality-status:core,dip:0002(small scale)
DIP-320N|uniprotkb:Q62120,DIP-1048N|refseq:NP_002871|uniprotkb:P04049,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-600E,dip-quality-status:core,dip:0002(small scale)
DIP-188N|uniprotkb:P20152,DIP-188N|uniprotkb:P20152,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-533E,dip-quality-status:core,dip:0002(small scale)
DIP-198N|refseq:NP_032080|uniprotkb:P39688,DIP-1019N|uniprotkb:Q03137,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0407(direct interaction)|MI:0218(physical interaction),DIP-797E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-1074N|uniprotkb:Q9DH70,DIP-369N|refseq:NP_035770|uniprotkb:P02340,taxid:10633(Simian virus 40),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-522E,dip-quality-status:core,dip:0002(small scale)
DIP-256N|refseq:NP_034173|uniprotkb:P31001,DIP-109N|uniprotkb:P15924,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-526E,dip-quality-status:core,dip:0002(small scale)
DIP-112N|refseq:NP_056623|uniprotkb:Q64507,DIP-109N|uniprotkb:P15924,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-527E,dip-quality-status:core,dip:0002(small scale)
DIP-188N|uniprotkb:P20152,DIP-633N|uniprotkb:P05783,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-534E,dip-quality-status:core,dip:0002(small scale)
DIP-222N|uniprotkb:P30561,DIP-461N|uniprotkb:P11499,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-564E,dip-quality-status:core,dip:0002(small scale)
DIP-252N|refseq:NP_031586|uniprotkb:P36898,DIP-520N|refseq:NP_001607|uniprotkb:P27037,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-569E,dip-quality-status:core,dip:0002(small scale)
DIP-897N|refseq:NP_035618|uniprotkb:P42230,DIP-650N|uniprotkb:P19756,taxid:10090(Mus musculus),taxid:9825(Sus scrofa domestica),MI:0218(physical interaction),DIP-570E,dip-quality-status:core,dip:0002(small scale)
DIP-156N|refseq:NP_032091|uniprotkb:Q00422,DIP-321N|uniprotkb:Q00420,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0407(direct interaction),DIP-589E,dip-quality-status:core,dip:0002(small scale)
DIP-948N|uniprotkb:Q80US8,DIP-982N|refseq:NP_011399|uniprotkb:P26309,taxid:10090(Mus musculus),taxid:4932(Saccharomyces cerevisiae),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-592E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-320N|uniprotkb:Q62120,DIP-196N|refseq:XP_282634,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-595E,dip-quality-status:core,dip:0002(small scale)
DIP-320N|uniprotkb:Q62120,DIP-442N|uniprotkb:P42227,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-596E,dip-quality-status:core,dip:0002(small scale)
DIP-320N|uniprotkb:Q62120,DIP-898N|uniprotkb:P42232,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-597E,dip-quality-status:core,dip:0002(small scale)
DIP-1058N|refseq:NP_002515|uniprotkb:P01111,DIP-320N|uniprotkb:Q62120,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-601E,dip-quality-status:core,dip:0002(small scale)
DIP-248N|refseq:NP_032364|uniprotkb:Q63953,DIP-320N|uniprotkb:Q62120,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-603E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-630N|refseq:NP_000154|uniprotkb:P10912,DIP-320N|uniprotkb:Q62120,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-604E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-320N|uniprotkb:Q62120,DIP-313N|uniprotkb:P19941,taxid:10090(Mus musculus),taxid:9986(Oryctolagus cuniculus),MI:0218(physical interaction),DIP-605E,dip-quality-status:core,dip:0002(small scale)
DIP-320N|uniprotkb:Q62120,DIP-441N|uniprotkb:P16882,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-606E,dip-quality-status:core,dip:0002(small scale)
DIP-320N|uniprotkb:Q62120,DIP-657N|uniprotkb:P14753,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-607E,dip-quality-status:core,dip:0002(small scale)
DIP-320N|uniprotkb:Q62120,DIP-95N|uniprotkb:P40189,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-608E,dip-quality-status:core,dip:0002(small scale)
DIP-270N|uniprotkb:P45984,DIP-442N|uniprotkb:P42227,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-609E,dip-quality-status:core,dip:0002(small scale)
DIP-1052N|refseq:NP_002220|uniprotkb:P17275,DIP-442N|uniprotkb:P42227,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-610E,dip-quality-status:core,dip:0002(small scale)
DIP-442N|uniprotkb:P42227,DIP-247N|refseq:NP_032374|uniprotkb:Q61727,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-612E,dip-quality-status:core,dip:0002(small scale)
DIP-137N|refseq:NP_002650|uniprotkb:Q03405,DIP-198N|refseq:NP_032080|uniprotkb:P39688,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-616E,dip-quality-status:core,dip:0002(small scale)
DIP-320N|uniprotkb:Q62120,DIP-271N|refseq:NP_035498|uniprotkb:P98083,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-628E,dip-quality-status:core,dip:0002(small scale)
DIP-271N|refseq:NP_035498|uniprotkb:P98083,DIP-63N|refseq:NP_058790|uniprotkb:P16310,taxid:10090(Mus musculus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-629E,dip-quality-status:core,dip:0002(small scale)
DIP-29229N|uniprotkb:P62993,DIP-271N|refseq:NP_035498|uniprotkb:P98083,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0254(genetic interference)|MI:0218(physical interaction)|MI:0254(genetic interference)|MI:0218(physical interaction),DIP-630E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-604N|uniprotkb:P29387,DIP-471N|refseq:NP_068774|uniprotkb:P63211,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-635E,dip-quality-status:core,dip:0002(small scale)
DIP-604N|uniprotkb:P29387,DIP-586N|refseq:NP_776497|uniprotkb:P63212,taxid:10090(Mus musculus),taxid:9913(Bos taurus),MI:0218(physical interaction),DIP-640E,dip-quality-status:core,dip:0002(small scale)
DIP-586N|refseq:NP_776497|uniprotkb:P63212,DIP-264N|uniprotkb:P62881,taxid:9913(Bos taurus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-641E,dip-quality-status:core,dip:0002(small scale)
DIP-604N|uniprotkb:P29387,DIP-587N|refseq:NP_776498|uniprotkb:P63214,taxid:10090(Mus musculus),taxid:9913(Bos taurus),MI:0218(physical interaction),DIP-645E,dip-quality-status:core,dip:0002(small scale)
DIP-587N|refseq:NP_776498|uniprotkb:P63214,DIP-264N|uniprotkb:P62881,taxid:9913(Bos taurus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-646E,dip-quality-status:core,dip:0002(small scale)
DIP-600N|refseq:NP_005264|uniprotkb:Q6FHM2,DIP-494N|refseq:NP_034447|uniprotkb:P50153,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-648E,dip-quality-status:core,dip:0002(small scale)
DIP-601N|refseq:NP_002066|uniprotkb:P16520,DIP-494N|refseq:NP_034447|uniprotkb:P50153,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-649E,dip-quality-status:core,dip:0002(small scale)
DIP-494N|refseq:NP_034447|uniprotkb:P50153,DIP-604N|uniprotkb:P29387,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-650E,dip-quality-status:core,dip:0002(small scale)
DIP-264N|uniprotkb:P62881,DIP-494N|refseq:NP_034447|uniprotkb:P50153,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-651E,dip-quality-status:core,dip:0002(small scale)
DIP-324N|refseq:NP_777236|uniprotkb:P63217,DIP-604N|uniprotkb:P29387,taxid:9913(Bos taurus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-655E,dip-quality-status:core,dip:0002(small scale)
DIP-324N|refseq:NP_777236|uniprotkb:P63217,DIP-264N|uniprotkb:P62881,taxid:9913(Bos taurus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-656E,dip-quality-status:core,dip:0002(small scale)
DIP-604N|uniprotkb:P29387,DIP-203N|uniprotkb:P30671,taxid:10090(Mus musculus),taxid:9913(Bos taurus),MI:0218(physical interaction),DIP-660E,dip-quality-status:core,dip:0002(small scale)
DIP-264N|uniprotkb:P62881,DIP-203N|uniprotkb:P30671,taxid:10090(Mus musculus),taxid:9913(Bos taurus),MI:0218(physical interaction),DIP-661E,dip-quality-status:core,dip:0002(small scale)
DIP-214N|uniprotkb:Q01705,DIP-171N|uniprotkb:P31266,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association),DIP-698E,dip-quality-status:core,dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-171N|uniprotkb:P31266,DIP-5N|refseq:NP_476859|uniprotkb:P07207,taxid:10090(Mus musculus),taxid:7227(Drosophila melanogaster),MI:0218(physical interaction),DIP-699E,dip-quality-status:core,dip:0002(small scale)
DIP-214N|uniprotkb:Q01705,DIP-177N|refseq:NP_476868|uniprotkb:P28159,taxid:10090(Mus musculus),taxid:7227(Drosophila melanogaster),MI:0218(physical interaction),DIP-700E,dip-quality-status:core,dip:0002(small scale)
DIP-1064N|refseq:NP_034979|uniprotkb:P01108,DIP-116N|uniprotkb:P28574,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0254(genetic interference),DIP-702E,dip-quality-status:core,dip:0002(small scale)
DIP-606N|refseq:NP_032165|uniprotkb:P21279,DIP-217N|refseq:NP_037028|uniprotkb:P28647,taxid:10090(Mus musculus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-713E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-603N|refseq:NP_034431|uniprotkb:P21278,DIP-217N|refseq:NP_037028|uniprotkb:P28647,taxid:10090(Mus musculus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-714E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-449N|uniprotkb:P00523,DIP-646N|refseq:NP_034360|uniprotkb:Q05860,taxid:9031(Gallus gallus),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-802E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-646N|refseq:NP_034360|uniprotkb:Q05860,DIP-738N|uniprotkb:Q05876,taxid:10090(Mus musculus),taxid:9031(Gallus gallus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-803E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-706N|uniprotkb:Q69138,DIP-171N|uniprotkb:P31266,taxid:10376(Human herpesvirus 4),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-806E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
